Job Title,Company,Location,Salary,Posted Date,Job URL
Data Scientist,Salesforce,"Boston, MA","USD 114,200.00 - 172,800.00 per year",Posted 8 days ago | Updated 1 hour ago,https://www.dice.com/job-detail/b4f0dc5d-5257-4102-9336-34a3217ebcfc
"Senior Data Scientist, Data Science",National Grid,"Waltham, MA","USD 153,000.00 per year",Posted 5 days ago | Updated 1 hour ago,https://www.dice.com/job-detail/1f9a1a29-13cd-40d2-9bfc-2c9356e00391
"Data Scientist III, Customer Technology",Wayfair,"Boston, MA",N/A,Posted 12 days ago | Updated 1 hour ago,https://www.dice.com/job-detail/91818aed-0de6-483f-beee-19ab1873c0b6
"Data Scientist II, Customer Technology",Wayfair,"Boston, MA",N/A,Posted 12 days ago | Updated 1 hour ago,https://www.dice.com/job-detail/1644a364-e8fb-4298-9cf7-c7667b7240da
Oliver Wyman - Sr. Lead Data Scientist or Principal Data Scientist,Marsh & McLennan Companies,"Boston, MA",Compensation information provided in the description,Posted 27 days ago | Updated 1 hour ago,https://www.dice.com/job-detail/b835594f-aba9-44a0-8c9a-7b102223c6b2
RWE Data Scientist,Katalyst Healthcares and Lifesciences,"Cambridge, MA",N/A,Posted 32 days ago | Updated 1 hour ago,https://www.dice.com/job-detail/b1332611-e372-4e32-98bb-0d004d604dd4
Senior Data Scientist,Harvard University,"Cambridge, MA",N/A,Posted 43 days ago | Updated 10 hours ago,https://www.dice.com/job-detail/27e0cf87-b9d2-4dc1-bb85-cf7fe34b5010
Senior Data Scientist: Data Excellence Lead,Amgen Inc,"Cambridge, MA","USD 137,855.00 per year",Posted 35 days ago | Updated 1 hour ago,https://www.dice.com/job-detail/00ff3a09-b8d9-48ec-93c9-dabd820c1f63
Data Scientist,Takeda Pharmaceuticals,"Boston, MA","USD 126,500.00 - 186,000.00 per year",Posted 60+ days ago | Updated 1 hour ago,https://www.dice.com/job-detail/cfe5a2df-f9f5-4017-bbaf-b9ea5cf7fe23
Data Scientist III,Chewy,"Boston, MA",N/A,Posted 60+ days ago | Updated 1 hour ago,https://www.dice.com/job-detail/f825a823-9400-4b1b-8c59-7ac53db68dae
Research Data Scientist,Schneider Electric,"Andover, MA",N/A,Posted 22 days ago | Updated 1 hour ago,https://www.dice.com/job-detail/c5c196c5-9b9e-41c9-ad22-b65706efb491
Data Scientist - Databricks + Python,Motion Recruitment,"Boston, MA",90k - 110k,Posted 58 days ago | Updated 9 hours ago,https://www.dice.com/job-detail/9a3e6d3a-370a-483a-8467-48e1508cfc11
"Lead Data Scientist, Data Science",National Grid,"Waltham, MA","USD 150,000.00 per year",Posted 60+ days ago | Updated 1 hour ago,https://www.dice.com/job-detail/d4a66962-7f4f-42e3-8399-85ba5bea87c7
Senior Data Scientist,Mass General Brigham,"Somerville, MA",N/A,Posted 60+ days ago | Updated 1 hour ago,https://www.dice.com/job-detail/c4557883-4bfb-4e82-ab84-1a0570fefa6a
Senior Data Scientist - ML,CVS Health,"Wellesley, MA","USD 101,970.00 - 222,480.00 per year",Posted 60+ days ago | Updated 1 hour ago,https://www.dice.com/job-detail/2307fbc0-a832-465b-9c59-4f92822f4433
Senior Data Scientist,Humana Inc,"Boston, MA","USD 141,100.00 - 194,000.00 per year",Posted 60+ days ago | Updated 1 hour ago,https://www.dice.com/job-detail/e3cc9ebc-1c3d-447c-8014-1cf9cec4bf44
PowerPlatform/Power Automate with CoPilot Data Scientist,Randstad Digital,"Woonsocket, RI",USD75 - USD80,Posted 12 days ago | Updated 1 hour ago,https://www.dice.com/job-detail/a1b22783-dea4-4c86-a5b9-10954cbca937
Senior Data Scientist - Pharmacy Operations,CVS Health,"Wellesley, MA","USD 111,240.00 - 222,480.00 per year",Posted 60+ days ago | Updated 1 hour ago,https://www.dice.com/job-detail/a8c54cd2-1a40-4da3-ac4e-476d2df6ffcc
Lead Data Scientist - AI,CVS Health,"Wellesley, MA","USD 142,140.00 - 284,280.00 per year",Posted 60+ days ago | Updated 1 hour ago,https://www.dice.com/job-detail/db0d5b02-fd1d-42a3-a18d-039b2fc75f94
Data Scientist,Techim INC,N/A,Depends on Experience,Posted 2 days ago | Updated 2 days ago,https://www.dice.com/job-detail/6d6421cd-b72f-437d-9a72-3b542798c39b
